,addressCN,brand,city,pOSNameCN,province,storeType,telephone
52,辽宁沈阳市长江街65胜道运动城3楼,adidas,沈阳市,沈阳市长江街北行胜道运动城篮球店,辽宁,篮球店,13478332975
53,北京北京市东三街1号欧美汇-1楼,adidas,北京市,北京市中关村东三街欧美汇篮球店,北京,篮球店,82483773
54,广东广州市天河路228正佳广场4楼,adidas,广州市,广州市天河路正佳广场篮球店,广东,篮球店,020-38331701-810
55,辽宁抚顺市东一路4百货大楼4楼,adidas,抚顺市,抚顺市东一路抚顺百货大楼篮球店,辽宁,篮球店,13942374743
56,北京北京市王府井大街138号新东安-1楼,adidas,北京市,北京市王府井大街新东安篮球店,北京,篮球店,65256085
57,陕西西安市长安北路14好家庭运动城1楼,adidas,西安市,西安市长安北路好家庭运动城篮球店,陕西,篮球店,13152084446
58,辽宁鞍山市二道街74号新亚运动城2楼,adidas,鞍山市,鞍山市二道街新亚运动城篮球店,辽宁,篮球店,15842469755
59,新疆乌鲁木齐市新华北路14号欧乐星购物中心1楼,adidas,乌鲁木齐市,乌鲁木齐市欧乐星购物中心篮球店,新疆,篮球店,0991-4582593
60,河南郑州市健康路街铺1楼,adidas,郑州市,郑州市健康路篮球店,河南,篮球店,0371-86615878
61,浙江杭州市环城北路3号杭州大厦4楼,adidas,杭州市,杭州市杭州大厦篮球店,浙江,篮球店,0571-87079330
62,浙江杭州市景昙路9号西子501城市广场-1楼,adidas,杭州市,杭州市西子501城市广场篮球店,浙江,篮球店,0571-88179680
63,广东深圳市华强北路2009号华强北茂业7楼,adidas,深圳市,深圳市华强北茂业篮球专卖店篮球店,广东,篮球店,0755-25324062
64,广东深圳市深南东路5016号京基百纳4楼,adidas,深圳市,深圳市京基百纳篮球专卖店篮球店,广东,篮球店,0755-22903415
65,河北石家庄市中山东路39号勒泰中心3楼,adidas,石家庄市,石家庄市中山东路勒泰中心篮球店,河北,篮球店,0311-67660880
66,安徽合肥市徽州大道5558号世纪金源3楼,adidas,合肥市,合肥市世纪金源篮球店,安徽,篮球店,0551-63621217
67,北京北京市新华西街7号万达广场5楼,adidas,北京市,北京市新华大街万达广场篮球店,北京,篮球店,60532287
68,江苏张家港市河西路88号曼巴特5楼,adidas,张家港市,张家港市张家港曼巴特篮球篮球店,江苏,篮球店,15335205335
69,江苏南京市双龙大道1688号江宁金鹰3楼,adidas,南京市,南京市江宁金鹰篮球店,江苏,篮球店,13851452984
70,江苏无锡市东方路168号八佰伴4楼,adidas,无锡市,无锡市八佰伴篮球店,江苏,篮球店,15335205335
71,安徽蚌埠市东海大道4000号银泰城4楼,adidas,蚌埠市,蚌埠市银泰城篮球店,安徽,篮球店,0552-3381388
72,天津天津市友谊南路111号梅江永旺梦乐城运动城2楼,adidas,天津市,天津市友谊南路永旺梦乐城篮球店,天津,篮球店,18622707072
73,贵州贵阳市中华中路117号龙港百盛3楼,adidas,贵阳市,贵阳市龙港百盛篮球店篮球店,贵州,篮球店,0851-85869821
74,湖南长沙市坡子街228号悦方ID mall4楼,adidas,长沙市,长沙市悦方ID mall篮球店,湖南,篮球店,0731-85063825
75,福建福州市台江路95号元洪购物广场4楼,adidas,福州市,福州市元洪东百篮球店,福建,篮球店,0591-86320153
76,辽宁大连市西安路107号中央大道购物广场4楼,adidas,大连市,大连市西安路中央大道购物广场篮球店,辽宁,篮球店,18842840227
77,四川成都市人民南路四段3号来福士广场-1楼,adidas,成都市,成都市来福士广场篮球店,四川,篮球店,
78,黑龙江牡丹江市太平路111号百货大楼5楼,adidas,牡丹江市,牡丹江市太平路百货大楼户外户外店,黑龙江,户外店,13804810234
79,北京北京市崇文门外大街3号新世界百货4楼,adidas,北京市,北京市崇文门新世界百货户外店,北京,户外店,67087230
80,黑龙江哈尔滨市中央大街222号百盛4楼,adidas,哈尔滨市,哈尔滨市中央大街百盛购物中心户外店,黑龙江,户外店,18646366559
81,辽宁盘锦市中兴路1号新玛特5楼,adidas,盘锦市,盘锦市中兴路新玛特户外店,辽宁,户外店,15566962926
82,辽宁大连市西安路92号锦辉商城5楼,adidas,大连市,大连市西安路锦辉商城户外店,辽宁,户外店,13009954466
83,辽宁锦州市凌川路24-406号兴隆大家庭4楼,adidas,锦州市,锦州市锦州市凌川路兴隆大家庭户外店,辽宁,户外店,15940649568
84,辽宁大连市西安路107号中央大道4楼,adidas,大连市,大连市西安路中央大道购物中心户外店,辽宁,户外店,18842840227
85,山东青岛市长江中路419号永旺2楼,adidas,青岛市,青岛市长江中路佳世客户外店,山东,户外店,15953230554
86,安徽合肥市淮河路77号百盛购物中心4楼,adidas,合肥市,合肥市淮河路百盛购物中心户外店,安徽,户外店,18609658596
87,辽宁沈阳市小东路1号新玛特购物广场6楼,adidas,沈阳市,沈阳市小东路新玛特购物广场户外店,辽宁,户外店,13897942365
88,辽宁沈阳市兴华南街37号新玛特购物广场5楼,adidas,沈阳市,沈阳市兴华南街新玛特购物广场户外店,辽宁,户外店,13555714837
89,辽宁沈阳市长江街65号佳合运动城4楼,adidas,沈阳市,沈阳市长江街佳合运动城户外店,辽宁,户外店,18842397384
90,吉林长春市开运街5178号欧亚卖场2楼,adidas,长春市,长春市欧亚卖场户外店,吉林,户外店,13578967822
91,吉林长春市重庆路618号亚泰2楼,adidas,长春市,长春市亚泰富苑户外店,吉林,户外店,17790067378
92,北京北京市府学路24号国泰百货5楼,adidas,北京市,北京市昌平府学路甲24号国泰百货户外店,北京,户外店,13269591036
93,吉林通化市光明路888号欧亚购物中心3楼,adidas,通化市,通化市欧亚购物中心户外店,吉林,户外店,18643542899
94,湖北武汉市解放大道688号武汉广场5楼,adidas,武汉市,武汉市武汉广场户外店,湖北,户外店,13545211291
95,新疆乌鲁木齐市友好南路668号友好百盛4楼,adidas,乌鲁木齐市,乌鲁木齐市友好百盛户外店,新疆,户外店,0991-4537692
96,辽宁沈阳市太原北街79号沈阳盛京文化智慧城2楼,adidas,沈阳市,沈阳市沈阳太原北街盛京文化智慧城户外店,辽宁,户外店,13840089525
97,广东广州市天河路208号天河城1楼,adidas,广州市,广州市天河城足球店足球店,广东,足球店,020-85594435
98,辽宁大连市西安路107号中央大道5楼,adidas,大连市,大连市西安路中央大道足球店,辽宁,足球店,18842840227
99,浙江杭州市庆春路229号广夏西湖时代广场-1楼,adidas,杭州市,杭州市庆春路广夏西湖时代广场折扣店,浙江,折扣店,0571-88313517
100,山西太原市开化寺街42号时代广场5楼,adidas,太原市,太原市开化寺街王府井奥特莱斯折扣店,山西,折扣店,0351-8218866
101,内蒙古呼和浩特市中山西路160号王府井5楼,adidas,呼和浩特市,呼和浩特市王府井百货折扣店,内蒙古,折扣店,15661251523
102,贵州贵阳市延安中路兴中元大厦1楼,adidas,贵阳市,贵阳市延安中路兴中元大厦折扣店,贵州,折扣店,13639107714
103,广东广州市迎宾路万博中心1楼,adidas,广州市,广州市迎宾路万博中心折扣店,广东,折扣店,020-34822487
104,黑龙江哈尔滨市智谷大街4313枫叶小镇1楼,adidas,哈尔滨市,哈尔滨市智谷大街枫叶小镇折扣店,黑龙江,折扣店,15004695905
105,上海上海市零陵路899号飞洲国际广场4楼,adidas,上海市,上海市零陵路飞洲国际广场折扣店,上海,折扣店,56294711
106,北京北京市皂君庙路28法雅体育工厂-1楼,adidas,北京市,北京市皂君庙路西单商场折扣店,北京,折扣店,62113542
107,辽宁锦州市上海路3段24号锦华商场2楼,adidas,锦州市,锦州市上海路锦华商场折扣店,辽宁,折扣店,0416-2122186
108,上海上海市七莘路3755号巴黎春天-1楼,adidas,上海市,上海市七莘路闵行巴黎春天折扣店,上海,折扣店,18918083802
109,江苏南京市中央路417号先锋广场3楼,adidas,南京市,南京市中央路先锋奥特莱斯折扣店,江苏,折扣店,025-83766102
110,湖南长沙市建东路421号凯德广场1楼,adidas,长沙市,长沙市建东路凯德广场折扣店,湖南,折扣店,18684660557
111,广东广州市奥体南路12号天河城百货2楼,adidas,广州市,广州市奥体南路天河城百货折扣店,广东,折扣店,020-82175363
112,辽宁沈阳市南京南街52号鸿源大厦1楼,adidas,沈阳市,沈阳市南京南街鸿源大厦折扣店,辽宁,折扣店,13909838884
113,广西南宁市建政路43号1楼,adidas,南宁市,南宁市建政路43号折扣店,广西,折扣店,0771-5628915
114,福建厦门市嘉禾路399号SM城市广场5楼,adidas,厦门市,厦门市嘉禾路SM城市广场折扣店,福建,折扣店,0592-5280686
115,上海市七莘路3755号1楼,adidas,上海市,上海七宝巴黎春天折扣店,上海,折扣店,021-60760175
116,广东广州市番禺大道383号海印又一城-1楼,adidas,广州市,广州市番禺大道海印又一城折扣店,广东,折扣店,020-39193432
117,贵州贵阳市河西路1号太平洋大厦3楼,adidas,贵阳市,贵阳市河西路太平洋大厦胜道运动城折扣店,贵州,折扣店,0851-85822142-913
118,河北保定市裕华路277号保定商场2楼,adidas,保定市,保定市裕华街保定商场折扣店,河北,折扣店,0312-2012119
119,福建厦门市厦禾路929号华联商厦2楼,adidas,厦门市,厦门市厦禾路华联商厦折扣店,福建,折扣店,0592-5881068
120,山东青岛市京口路18号-1楼,adidas,青岛市,青岛市京口路18号折扣店,山东,折扣店,0532-80922216
121,广东广州市西环路1520号荔园新天地1楼,adidas,广州市,广州市西环路荔园新天地折扣店,广东,折扣店,020-31047421
122,山东淄博市柳泉路67号嘉信茂2楼,adidas,淄博市,淄博市嘉信茂折扣店,山东,折扣店,05333161156
123,浙江绍兴市解放南路925号1楼,adidas,绍兴市,绍兴市解放南路925号折扣店,浙江,折扣店,
124,河北保定市五四路1号保定军校广场1楼,adidas,保定市,保定市五四路保定军校广场折扣店,河北,折扣店,0312-5994256
125,北京北京市王府井大街168号中国儿童用品商店5楼,adidas,北京市,北京市王府井大街新中国儿童用品商店起跑线运动城折扣店,北京,折扣店,18515037596
126,河北石家庄市中山东路352号裕彤国际体育中心1楼,adidas,石家庄市,石家庄市中山东路裕彤国际体育中心运动城折扣店,河北,折扣店,0311-89665016
127,河南郑州市经三路60号超继运动城1楼,adidas,郑州市,郑州市经三路超继运动城折扣店,河南,折扣店,0371-69351371
128,上海上海市石龙路750号上海南站1楼,adidas,上海市,上海市南站银泰百货折扣店,上海,折扣店,34282377
129,山西太原市解放南路62号1楼,adidas,太原市,太原市解放南路288号折扣店,山西,折扣店,0351-7925198
130,河南洛阳市景华路46号洛阳银座商城2楼,adidas,洛阳市,洛阳市银座商城精英工厂店折扣店,河南,折扣店,037964251269
131,浙江金华市宾虹路700号易和盛世广场2楼,adidas,金华市,金华市宾虹路冠达名品商厦折扣店,浙江,折扣店,0579-82057282
132,辽宁沈阳市兴华南街2号滔博运动城4楼,adidas,沈阳市,沈阳市兴华南街滔博运动城折扣店,辽宁,折扣店,18102482501
133,吉林长春市开运街5178号欧亚卖场2楼,adidas,长春市,长春市开运街欧亚卖场折扣店,吉林,折扣店,0431-81729248
134,湖南长沙市万家丽路华晨世纪广场-1楼,adidas,长沙市,长沙市华晨世纪广场折扣店,湖南,折扣店,0731-82739280
135,江苏无锡市红星路229号阳光购物广场1楼,adidas,无锡市,无锡市阳光购物广场折扣店,江苏,折扣店,0510-85752239
136,河北唐山市建设路120号远洋城购物中心3楼,adidas,唐山市,唐山市建设路远洋城购物中心折扣店,河北,折扣店,0315-2790189
137,上海市普陀区长寿路155号4楼,adidas,上海市,上海一频道折扣店,上海,折扣店,021-31315201
138,湖北武汉市中山大道600号库玛品牌服饰交易中心2楼,adidas,武汉市,武汉市武汉库玛店折扣店,湖北,折扣店,027-85370371
139,北京北京市朝阳公园南路8号棕榈泉生活广场-2楼,adidas,北京市,北京市朝阳公园南路棕榈泉生活广场折扣店,北京,折扣店,65398342
140,黑龙江哈尔滨市红军街15号奥威斯运动折扣店1楼,adidas,哈尔滨市,哈尔滨市红军街奥威斯运动折扣店折扣店,黑龙江,折扣店,13845124881
141,广东珠海市景山路222号珠海百货5楼,adidas,珠海市,珠海市景山路珠海百货折扣店,广东,折扣店,15018425848
142,江苏南通市濠西路299号奥特莱斯购物广场1楼,adidas,南通市,南通市濠西路奥特莱斯购物广场折扣店,江苏,折扣店,13862930497
143,江苏南京市汉中门大道1号金鹰购物中心4楼,adidas,南京市,南京市汉中门大道金鹰购物中心折扣店,江苏,折扣店,13851452984
144,云南昆明市庆云街145号庆云商场1楼,adidas,昆明市,昆明市庆云街庆云商场折扣店,云南,折扣店,0871-63627317
145,广东广州市西湖路81号光明广场4楼,adidas,广州市,广州市西湖路百丽商贸滔博运动城折扣店,广东,折扣店,020-61273532
146,浙江义乌市城中中路179号,adidas,义乌市,义乌市城中中路179号折扣店,浙江,折扣店,0579-85269156
147,浙江杭州市天城路86号衣之家百货3楼,adidas,杭州市,杭州市天城路城东衣之家百货折扣店,浙江,折扣店,0571-86485155
148,河北唐山市建国路6号东方购物广场1楼,adidas,唐山市,唐山市建国路东方购物广场折扣店,河北,折扣店,15511907861
149,浙江绍兴市中兴中路33号中汇百货3楼,adidas,绍兴市,绍兴市中兴中路衣之家百货折扣店,浙江,折扣店,0575-85119326
150,山东潍坊市东风东街7819号凯德广场2楼,adidas,潍坊市,潍坊市凯德广场折扣店,山东,折扣店,0536-8560965
151,陕西西安市雁南路A6号曲江新乐汇1楼,adidas,西安市,西安市曲江新乐汇折扣店,陕西,折扣店,85458681
152,辽宁沈阳市长青街121号新生活广场1楼,adidas,沈阳市,沈阳市长青街新生活广场折扣店,辽宁,折扣店,13898840812
153,河南郑州市农业东路109号宝龙城市广场2楼,adidas,郑州市,郑州市宝龙国际精英工厂店折扣店,河南,折扣店,0371-69091195
154,河南洛阳市辽宁路168号洛阳万达广场-1楼,adidas,洛阳市,洛阳市华润万家工厂店折扣店,河南,折扣店,037964156116
155,吉林长春市开运街5178欧亚卖场2楼,adidas,长春市,长春市开运街欧亚卖场折扣运动休闲店,吉林,折扣店,0431-81682539
156,湖北武汉市宁康路58号沌口运动1001楼,adidas,武汉市,武汉市武汉沌口运动100折扣折扣店,湖北,折扣店,027-84478552
157,安徽马鞍山市湖南路39号新名盟运动城4楼,adidas,马鞍山市,马鞍山市湖南路精英运动城折扣店,安徽,折扣店,0555-2331082
158,上海上海市罗芬路989-20号美兰湖奥特莱斯1楼,adidas,上海市,上海市罗芬路美兰湖奥特莱斯运动100运动城折扣店,上海,折扣店,36415227
159,新疆乌鲁木齐市钱塘江路钱塘江阳光1004楼,adidas,乌鲁木齐市,乌鲁木齐市钱塘江阳光100折扣店,新疆,折扣店,0991-5511659
160,陕西西安市科技路259号华润万家1楼,adidas,西安市,西安市华润万家折扣店,陕西,折扣店,68520014-802
161,北京北京市东四环东四环南路9号燕莎奥特莱斯2楼,adidas,北京市,北京市东四环南路燕莎奥特莱斯折扣店,北京,折扣店,67395067
162,浙江杭州市启潮路199号百联奥特莱斯广场2楼,adidas,杭州市,杭州市下沙百联奥特莱斯广场折扣店,浙江,折扣店,0571-87215907
163,辽宁抚顺市雷锋路56号奥特莱斯购物中心2楼,adidas,抚顺市,抚顺市雷锋路东段裕宝商业广场折扣店,辽宁,折扣店,56681389
164,陕西西安市高新路18号伊蝶大厦1楼,adidas,西安市,西安市高新路伊蝶大厦五环运动城折扣店,陕西,折扣店,13152084446
165,河南平顶山市体育路15号黄金海岸-1楼,adidas,平顶山市,平顶山市体育路黄金海岸胜道运动城折扣店,河南,折扣店,0375-6196288
166,江苏南京市格致路99号文鼎广场1楼,adidas,南京市,南京市格致路文鼎广场折扣店,江苏,折扣店,025-52162263
167,山东青岛市费县路6号华联商厦5楼,adidas,青岛市,青岛市费县路华联商厦折扣店,山东,折扣店,0532-82865562
168,河北邯郸市 中华大街124号万达商场5楼,adidas,邯郸市,邯郸市中华大街万达百货折扣店,河北,折扣店,0310-8845062
169,福建厦门市滨湖东一里282号乐海百货2楼,adidas,厦门市,厦门市滨湖东一里乐海百货折扣店,福建,折扣店,0592-6056276
170,江苏徐州市解放北路,adidas,徐州市,徐州市解放北路兴隆大厦折扣店,江苏,折扣店,0516-83739997
171,辽宁大连市解放路580号友谊美邻购物广场1楼,adidas,大连市,大连市解放路友谊美邻购物广场折扣店,辽宁,折扣店,15998526192
172,北京北京市万丰路305号亿潼隆万丰购物中心3楼,adidas,北京市,北京市万丰路亿潼隆万丰购物中心折扣店,北京,折扣店,63768002
173,上海上海市淞沪路1号巴黎春天7楼,adidas,上海市,上海市淞沪路巴黎春天折扣店,上海,折扣店,51613758
174,湖南长沙市芙蓉南路27号友阿奥特莱斯1楼,adidas,长沙市,长沙市芙蓉南路友阿奥特莱斯折扣店,湖南,折扣店,18874703880
175,江苏南京市学海路1号金鹰奥特莱斯2楼,adidas,南京市,南京市学海路仙林金鹰奥特莱斯折扣店,江苏,折扣店,025-83610605
176,浙江绍兴市环城北路国际摩尔城世纪联华1楼,adidas,绍兴市,绍兴市环城北路世纪联华折扣店,浙江,折扣店,0575-85232166
177,北京北京市南苑路7号福成大厦6楼,adidas,北京市,北京市南苑路福成大厦折扣店,北京,折扣店,67282887
178,天津天津市南马路95号金耀广场4楼,adidas,天津市,天津市南马路金耀广场折扣店,天津,折扣店,15302086906
179,黑龙江哈尔滨市延福街172号香埠购物广场1楼,adidas,哈尔滨市,哈尔滨市延福街香埠购物商场折扣店,黑龙江,折扣店,13836118200
180,陕西西安市金花南84号西安交通大学二村2楼,adidas,西安市,西安市西安交大五环工厂店折扣店,陕西,折扣店,89531415-601
181,云南曲靖市南京西路256号红星运动城3楼,adidas,曲靖市,曲靖市南京西路红星运动城折扣店,云南,折扣店,0874-3105755
182,黑龙江哈尔滨市中央大街85赛丽斯商城2楼,adidas,哈尔滨市,哈尔滨市中央大街赛丽斯商城折扣运动休闲店,黑龙江,折扣店,"13845124881,15940551042"
183,广西南宁市新民路4号王府井百货5楼,adidas,南宁市,南宁市新民路王府井百货折扣店,广西,折扣店,0771-2082750
184,吉林通化市建设大街30号新天地购物公园1楼,adidas,通化市,通化市建设大街新天地购物公园折扣店,吉林,折扣店,0435-3358890
185,江苏南京市瞻园路9号卓冉奥特莱斯5楼,adidas,南京市,南京市瞻园路卓冉奥特莱斯折扣店,江苏,折扣店,025-85860172
186,广东佛山市海八东路32号金融城广场天河城百货2楼,adidas,佛山市,佛山市金融城广场天河城百货折扣店,广东,折扣店,0757-86235593
187,北京北京市马连道路甲10号万家上品折扣3楼,adidas,北京市,北京市马连道路万家上品折扣运动表现店,北京,折扣店,010-63366902
188,湖北武汉市川龙大道百联奥特莱斯广场1楼,adidas,武汉市,武汉市川龙大道百联奥特莱斯广场折扣店,湖北,折扣店,027-61195746
189,江苏镇江市黄山西路18号潮流广场-1楼,adidas,镇江市,镇江市黄山西路潮流广场折扣店,江苏,折扣店,13382973715
190,湖南长沙市黄兴北路1号王府井百货9楼,adidas,长沙市,长沙市黄兴北路王府井百货折扣店,湖南,折扣店,0731-89857101
191,广东广州市前进路40号万国广场4楼,adidas,广州市,广州市前进路奥特莱斯折扣店,广东,折扣店,020-84417360
192,江苏盐城市人民南路11号金鹰奥莱城2楼,adidas,盐城市,盐城市人民南路金鹰奥莱城折扣店,江苏,折扣店,18068889987
193,河北石家庄市裕华路裕华西路永辉超市-1楼,adidas,石家庄市,石家庄市裕华西路永辉超市运动城折扣店,河北,折扣店,0311-85511513
194,安徽蚌埠市中山街百大购物中心6楼,adidas,蚌埠市,蚌埠市中山街折扣店,安徽,折扣店,0552-2082318
195,江苏苏州市石路8号成泰奥特莱斯百货2楼,adidas,苏州市,苏州市成泰百货折扣店,江苏,折扣店,0512-67085712
196,江苏淮安市翔宇中路165号万达广场2楼,adidas,淮安市,淮安市清河万达广场折扣店,江苏,折扣店,0517-89362109
197,北京北京市东高地万源北路36号万源广场1楼,adidas,北京市,北京市万源北路万源广场折扣店,北京,折扣店,68198861
198,山东泰安市泰山大街东段奥特莱斯3楼,adidas,泰安市,泰安市泰山大街东段奥特莱斯折扣店,山东,折扣店,0538-8265011
199,辽宁沈阳市盘北街5号兴隆奥特莱斯5楼,adidas,沈阳市,沈阳市盘北街兴隆奥特莱斯折扣店,辽宁,折扣店,18102482452
200,辽宁葫芦岛市中央大街1号滔博运动城3楼,adidas,葫芦岛市,葫芦岛市中央大街滔博运动折扣店,辽宁,折扣店,0429-3390695
201,北京北京市顺西路东侧18号（石门地铁C口旁)顺西路18号隆华奥特莱斯1楼,adidas,北京市,北京市顺西路隆华奥特莱斯折扣店,北京,折扣店,89418405
202,辽宁沈阳市蒲河路98号尚柏奥莱1楼,adidas,沈阳市,沈阳市蒲河路尚柏奥特莱斯折扣店,辽宁,折扣店,18240314776
203,河北邯郸市邯山路邯山商场2楼,adidas,邯郸市,邯郸市邯山路邯山商场折扣店,河北,折扣店,0310-2117618
204,江苏南京市金箔路138号富腾购物中心1楼,adidas,南京市,南京市金箔路富腾购物中心折扣店,江苏,折扣店,13851452984
